,,place,player,points,#,wrld,ic_32,ic_33,,,im_29,im_30,,,rl_07,rl_08,,,wmbl,aus,surv,ml,sl,qd
,#N/A,150,Dayvs,543,12,115,75,69,,,42,56,,,55,95,,,45,100,80,58,78,
,,153,Dvale112,542,7,130,80,47,,,115,90,,,,,,,,10,80,,,
,,154,Kor,540,10,115,69,47,,,56,,,,70,44,,,150,,80,2,1,
,,154,pigfans,540,2,,,,,,,,,,,,,,,500,40,,,
,#N/A,156,Barnes,539,10,170,46,69,,,20,56,,,,52,,,,100,80,59,61,
,#N/A,157,Fjantarik,537,5,260,80,69,,,64,64,,,,,,,,,,,,
,,158,jhutc,536,6,260,,,,,,,,,,,,,90,40,10,41,95,
,,159,maiquelPS,534,5,170,75,59,,,115,115,,,,,,,,,,,,
,,160,Gavatron,532,5,260,47,,,,49,56,,,,,,,,,120,,,
,#N/A,161,gregt,529,6,210,92,75,,,76,,,,,,,,,,,37,39,
,,162,Firedart,518,12,210,26,46,,,56,64,,,70,62,,,25,10,40,56,26,
,#N/A,163,Doughnut,517,3,,,165,,,102,250,,,,,,,,,,,,
,#N/A,163,Goldfinger_,517,8,,34,46,,,56,140,,,,,,,,10,40,60,175,
,,165,Boyo,514,6,75,310,,,,,,,,,,,,45,10,10,64,,
,,166,kyshantry,510,2,470,,,,,,,,,,,,,,40,,,,
,#N/A,166,Tim248,510,2,210,,,,,,,,,,,,,,,300,,,
,#N/A,168,Spence2102,507,11,115,34,52,,,64,76,,,50,39,,,150,40,40,,20,
,#N/A,168,tianren4561367,507,5,260,27,92,,,,,,,48,80,,,,,,,,
,,170,Sakic19,500,12,130,59,43,,,49,56,,,90,110,,,10,10,40,39,55,
,,171,Mike1313,499,11,115,52,52,,,56,140,,,32,32,,,25,10,10,84,,
,,172,St-Amadeus,498,10,115,95,75,,,64,49,,,44,44,,,,100,40,,18,
,,173,Sunmaster14_LV,497,12,95,43,46,,,30,56,,,100,75,,,90,40,10,81,33,
,,174,MartinW,495,10,130,52,92,,,30,30,,,,,,,10,10,10,65,126,
,#N/A,175,discodancer,490,2,260,230,,,,,,,,,,,,,,,,,
,,175,raist,490,12,95,75,59,,,27,20,,,105,88,,,10,10,10,62,65,
,,177,Dragonite,485,9,130,34,69,,,76,64,,,,,,,,40,10,102,44,
,,178,Wanderlust,480,1,,,,,,,,,,,,,,480,,,,,
,,178,Snucka,480,1,,,,,,,,,,,,,,480,,,,,
,,178,heisenberg_97,480,4,,130,95,,,140,115,,,,,,,,,,,,
,,178,Olesch,480,6,170,59,59,,,76,76,,,,,,,,40,,,,
,#N/A,182,WowaduHek,475,4,,,,,,,,,,115,110,,,240,,10,,,
,#N/A,183,TorbenOfHerpes,474,10,140,69,105,,,49,56,,,32,48,,,,,40,55,40,
,#N/A,184,arDKee,472,4,260,92,95,,,,,,,,,,,25,,,,,
,,185,Jonny125,471,10,75,80,59,,,56,76,,,80,80,,,25,,80,,58,
,#N/A,186,Reenter73,470,4,210,,,,,160,90,,,,,,,,10,,,,
,,186,Michiel,470,1,470,,,,,,,,,,,,,,,,,,
,,186,SandHippo,470,1,470,,,,,,,,,,,,,,,,,,
,,189,AndriiN,469,7,140,,,,,35,30,,,70,44,,,150,,,,9,
,,190,Dovi,468,7,115,69,59,,,56,49,,,,,,,,10,120,,,
,,191,ElKhan,467,12,115,59,69,,,56,64,,,75,75,,,25,40,10,33,69,
,,191,FreddyCrugerKiller,467,4,210,92,125,,,,,,,,,,,,,40,,,
,#N/A,193,Terence,462,10,130,52,43,,,,,,,60,50,,,90,10,80,38,48,
,,193,BitterBlossom,462,6,170,92,80,,,,,,,,,,,10,100,10,,,
,#N/A,193,phoang,462,7,260,,,,,,,,,45,39,,,25,10,40,,53,
,#N/A,196,syras,460,2,,,,,,,,,,200,260,,,,,,,,
,,197,Garri,459,4,210,47,52,,,,,,,,,,,150,,,,,
,,197,Adamez,459,7,95,,,,,,,,,70,100,,,90,10,40,,64,
,,199,Papaver,457,4,,165,150,,,,,,,,,,,,40,,,102,
,,200,DavidSegoviano,456,12,130,52,59,,,42,56,,,32,35,,,45,10,40,48,111,
