,,place,player,points,#,wrld,ic_24,ic_25,ic_26,ic_27,im_21,im_22,im_23,im_24,rl_01,rl_02,,snail,wmbl,aus,eif,ml,qd
,,143,Olesch,794,10,140,80,52,43,34,75,92,100,75,,,,,,,,,180
,#N/A,144,Reenter73,793,9,125,140,80,69,59,140,125,55,47,,,,,,,,,
,,145,borz.zrob,792,9,220,69,75,92,165,55,69,47,46,,,,,,,,,
,,146,Amorin,788,12,150,34,30,46,52,69,47,46,47,,,,125,250,,,48,
,#N/A,147,HeirOfValyria,783,8,370,,,,,46,47,46,55,60,65,,,,,94,,
,,148,Boyo,780,9,260,,27,46,69,,,,27,75,110,,,,,33,160,
,,149,MruczekW,773,9,240,46,52,,,92,85,125,,75,,,,,50,54,,
,,149,ChipsAhoya,773,13,310,75,52,59,40,47,34,34,34,45,27,,,,,105,80,
,#N/A,151,Draculade,760,5,220,75,,,,,,,,,,,,,100,,290,75
,#N/A,152,weisswurst,756,6,260,95,,,165,92,,75,69,,,,,,,,,
,,153,SandHippo,750,1,,,,,,,,,,,750,,,,,,,
,,154,iyakhoop,745,4,310,,,,,,,,,,,,140,120,,175,,
,,155,Nightvayne,744,11,240,80,59,47,59,69,47,46,92,60,85,,,,,,,
,,155,Shadowiscool500,744,14,140,69,59,59,59,34,47,46,69,64,45,,,,10,30,225,
,,157,Gagic,743,9,180,43,59,92,80,,,,,64,75,,,,10,,150,
,,158,rcia,742,11,150,80,40,22,34,34,27,,,,,,210,,100,27,94,
,#N/A,158,brainac,742,7,240,92,85,95,80,,,,,80,70,,,,,,,
,,160,Shagrat,734,10,220,,,27,46,,15,46,92,65,100,,,,,41,124,
,,161,rap2,722,12,140,69,95,85,80,46,55,69,47,64,120,,,,50,,,
,,162,Qiubag,714,13,220,46,43,46,92,92,75,41,46,55,65,,,,10,69,,
,,163,MurphyAKL,709,16,180,69,80,59,69,41,46,41,21,55,55,,85,30,10,35,112,
,,164,MidnightFox,707,9,180,69,75,52,69,,,47,46,85,130,,,,,,,
,#N/A,165,DB.Starman,706,11,150,34,59,92,75,75,55,69,69,,,,,,10,117,,
,,166,Aranwar,700,9,,85,105,75,43,140,85,92,75,,,,,,25,,,
,#N/A,167,Hsugneslie,698,6,450,75,,,,34,34,41,,64,,,,,,,,
,,168,Mattian12000,697,7,240,46,47,69,59,,,,,,,,,,,100,136,
,#N/A,169,Padishar,695,15,125,59,52,69,59,47,34,92,100,47,45,,85,,10,30,106,
,,170,ERock37,688,7,260,,,,59,,,69,55,47,50,,,,,,148,
,,171,DadboBaggins,672,10,50,43,34,52,92,34,69,69,92,,,,,,,,205,
,,172,Berfner,670,4,525,46,47,,52,,,,,,,,,,,,,
,,173,St-Amadeus,666,14,125,105,75,52,40,46,47,46,47,37,47,,95,,10,120,,
,,174,pote,665,8,310,46,52,59,,47,46,,,,,,95,,10,,,
,#N/A,175,CarloPedersoli,662,9,,46,92,80,92,15,46,69,85,,,,,,,,152,
,,176,eNroamer,661,14,220,30,46,92,105,55,47,34,46,,,,50,30,10,25,36,
,#N/A,176,peposqui,661,10,180,47,59,69,92,92,75,47,46,47,,,,,,,,
,,178,JimmyLin,659,14,140,34,92,85,75,69,55,41,46,55,55,,,60,,55,83,
,,179,ChampDeGlace,652,12,220,40,46,40,34,34,55,69,92,50,80,,,,10,,,
,#N/A,180,bobaboba,650,1,650,,,,,,,,,,,,,,,,,
,,180,a440,650,1,650,,,,,,,,,,,,,,,,,
,#N/A,182,henrymerrivale,648,14,180,40,34,43,26,46,47,46,55,60,65,,,10,,51,144,
,,183,Raulone,646,6,,,,,,55,69,92,100,130,200,,,,,,,
,,184,Wolar,638,12,220,23,26,34,23,46,55,55,47,75,90,,,,,,50,
,,185,Shincham,634,9,140,85,85,75,92,47,34,55,55,,,,,,,,,
,,185,Thronx,634,9,180,80,52,47,43,,,,,50,38,,,,,40,142,
,,187,Xterm,631,9,125,46,69,92,105,75,55,55,55,,,,,,,,,
,,188,zbert,623,8,220,34,92,80,47,,,,,65,60,,,,,,25,
,#N/A,189,LeonidasI,612,9,260,40,46,47,40,,,47,27,47,85,,,,,,,
,#N/A,190,Alvin1912,610,9,310,46,59,52,59,23,8,34,27,,,,,,,,,
,#N/A,191,Terence,606,11,240,40,26,23,30,,,,,70,47,,,60,10,19,93,
,,192,BitterBlossom,600,7,220,27,34,43,46,,,,,100,130,,,,,,,
,#N/A,193,Aaronwebber,597,12,220,59,47,40,46,41,34,55,41,34,41,,,,,,88,
,#N/A,194,Doughnut,595,3,370,125,,,,,,,,,,,,,,,,100
,,195,Palino,590,2,310,,,,,,,,,,,,,,,,280,
,#N/A,196,Dayvs,589,8,150,,,,,41,46,55,55,70,42,,,,,,130,
