Tournament,Date,Player1,Score1,Player2,Score2,Player3,Score3,Player4,Score4,Player_Count
French Open 2026 - group 93 game 1,2026-07-16,wrx666,207,Lohmann,170,tronnemann,164.0,Mockingbird5,148.0,4
French Open 2026 - group 129 game 1,2026-07-17,snowjotunn,261,Dubz,233,clemy,227.0,Depp,187.0,4
French Open 2026 - group 171 game 1,2026-07-17,RiRu,288,RougeEconomist,272,MaxBoomer,135.0,cultro,-5.0,4
French Open 2026 - group 26 game 1,2026-07-17,Huettengaudi,315,daggsea,271,theussner79,204.0,DonutRapist,-4.0,4
French Open 2026 - group 41 game 1,2026-07-17,MBlueMan,209,pavelceska,181,creamyalfredo,158.0,Marabu8,128.0,4
French Open 2026 - group 5 game 1,2026-07-17,baralex,230,Korsus,190,maxolino,182.0,Puren94,157.0,4
French Open 2026 - group 58 game 1,2026-07-17,NFGM,216,z0pfel,199,Kruch,171.0,Saph4ir,127.0,4
French Open 2026 - group 119 game 1,2026-07-18,ChipsAhoya,211,Bookhouseboy,163,vgiannog,129.0,kaeptnblaubaer,-4.0,4
French Open 2026 - group 168 game 1,2026-07-18,Kelvinator,253,DrRerNate,195,sorecats,156.0,Gudimundi,154.0,4
French Open 2026 - group 116 game 1,2026-07-19,holy834,319,Exile,240,Tapio,225.0,sausagesky,-4.0,4
French Open 2026 - group 13 game 1,2026-07-19,Caveman90,270,ed_vins,237,rcia,193.0,JohnDavie,154.0,4
French Open 2026 - group 153 game 1,2026-07-19,Dakeyras,161,Lexa7,147,Cromlech,127.0,Nimnaros,95.0,4
French Open 2026 - group 63 game 1,2026-07-19,pessen,235,jezza101,219,vagrantil,188.0,Vi15So17,168.0,4
French Open 2026 - group 140 game 1,2026-07-20,Biggi86,231,BlackSmyth,204,kabel2,204.0,Claudius74,164.0,4
French Open 2026 - group 150 game 1,2026-07-20,tupper,214,jormapa,157,Francesco1812,147.0,Gr33ny,-4.0,4
French Open 2026 - group 46 game 1,2026-07-20,sergilicious,166,nerficya,151,Sergeeeee,121.0,JJsDad,118.0,4
French Open 2026 - group 6 game 1,2026-07-20,TorbenOfHerpes,128,KMMAL,121,Daemon3142,120.0,maumastoks,106.0,4
French Open 2026 - group 114 game 1,2026-07-21,Gavatar82,227,jmcj,223,Attrill20,210.0,MadNut86,201.0,4
French Open 2026 - group 164 game 1,2026-07-21,PunchHorse,248,kackajoni,175,Faeyon,-5.0,Viceroy,-5.0,4
French Open 2026 - group 4 game 1,2026-07-21,rabalder,254,JohnyT,230,KubikD,226.0,Spence2102,-5.0,4
French Open 2026 - group 56 game 1,2026-07-21,jantteri,291,joecackler,267,Rhand,170.0,ZesPak,123.0,4
French Open 2026 - group 90 game 1,2026-07-21,Otto_von_Bismarck,356,micropip,239,Vegeta4791,171.0,TribunX,-4.0,4
French Open 2026 - group 97 game 1,2026-07-21,Azerbaperro,283,Pieroz88,241,Kartek,195.0,BirdOfPreyyy,188.0,4
French Open 2026 - group 112 game 1,2026-07-22,norbetk,303,Oso,203,LMH,190.0,mindphaser,167.0,4
French Open 2026 - group 117 game 1,2026-07-22,javimb89,198,Kharny,183,fridaK,168.0,gutibudoka,151.0,4
